accepted_contributing_blocks,accepted_effective_blocks,accepted_measurement_samples,block_bootstrap_interval_high,block_bootstrap_interval_low,block_bootstrap_standard_error,boundary_excluded_origins,cube_candidate_origins,cube_id,curve_uncertainty_support_passes,curve_value,direction,directional_exclusion_counts_across_channels_json,directional_exclusion_invalid_B,directional_exclusion_invalid_q,directional_exclusion_weak_B_direction,directional_exclusion_weak_q_perp_for_phi,directional_exclusion_weak_r_perp_for_phi,displacement_count,eligible_origin_fraction,eligible_origins,ell_center_cells,ell_lower_cells,ell_upper_cells,intrinsic_eligible_origins,local_log_slope_diagnostic,local_log_slope_support_mask,pair_sampling_standard_error,q_name,sampled_origins,shell_index,shell_local_below_5pct_curve_overlay_threshold,shell_local_meets_10pct_slope_candidate_geometry_threshold,shell_local_meets_5pct_curve_overlay_threshold,shell_local_science_facing_overlay_supported,support_mode,support_policy_excluded_origins,valid_bootstrap_resamples,weak_shell_local_value_retained_as_flagged_diagnostic
415,305.0817943638571,2185,1.187033914307389e-05,8.44853353099833e-06,9.649465929742292e-07,12280320,4718592000,L640_sub00370,True,1.021265177382828e-05,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,18,0.9973974609375,4706311680,0.8660254037844386,0.5,1.5,4706311680,,False,8.454546034139247e-07,B,36864,0,,,,,all_valid_origins,0,200,False
72,45.73896204492642,243,4.852946892971079e-05,2.440257213013638e-05,6.062412306402102e-06,27000332,5767168000,L640_sub00370,True,3.51675776016633e-05,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9953182685158469,5740167668,1.9364916731037085,1.5,2.5,5740167668,,False,5.542512600859526e-06,B,45056,1,,,,,all_valid_origins,0,200,False
338,220.97749536669315,1292,0.00014140073363501192,8.415396752112061e-05,1.5074114759031887e-05,40064046,5767168000,L640_sub00370,True,0.00011397811338329891,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9930530815124512,5727103954,2.958039891549808,2.5,3.5,5727103954,1.8689533773573177,True,1.1148431154228982e-05,B,45056,2,,,,,all_valid_origins,0,200,False
251,168.79313893653517,992,0.00021506782245378386,0.00013140306137095136,2.200938706983367e-05,47395930,5242880000,L640_sub00370,True,0.00017270300015140066,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,20,0.9909599437713623,5195484070,3.968626966596886,3.5,4.5,5195484070,1.9090513208665076,True,2.1001459353663533e-05,B,40960,3,,,,,all_valid_origins,0,200,False
428,300.4606413994169,1816,0.000277382673223937,0.00018946241098395455,2.1635161382538072e-05,77579760,6815744000,L640_sub00370,True,0.00023852425156873784,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,26,0.9886175654484676,6738164240,4.9749371855331,4.5,5.5,6738164240,1.671478795967367,True,2.047210955080157e-05,B,53248,4,,,,,all_valid_origins,0,200,False
351,247.09843553728444,1471,0.0004155863729909736,0.00026677044654859654,3.8287888559541966e-05,79967106,5767168000,L640_sub00370,True,0.00032164537642068603,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9861340772455389,5687200894,5.979130371550699,5.5,6.5,5687200894,1.8498295441688244,True,3.556035065834589e-05,B,45056,5,,,,,all_valid_origins,0,200,False
376,256.0480435859336,1438,0.0005878599837132027,0.00044411525933334394,3.820262224501099e-05,103547626,6291456000,L640_sub00370,True,0.0005096014113900279,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.98354154809316,6187908374,6.98212002188447,6.5,7.5,6187908374,1.852772163768793,True,3.8676954492332286e-05,B,49152,6,,,,,all_valid_origins,0,200,False
405,291.9517836142689,1726,0.0007085809005092984,0.0004929031875876703,5.989131431507175e-05,108369650,5767168000,L640_sub00370,True,0.0005959229565207154,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,22,0.9812092087485573,5658798350,7.984359711335656,7.5,8.5,5658798350,1.8921841501814844,True,5.244799037983885e-05,B,45056,7,,,,,all_valid_origins,0,200,False
435,310.0902297479927,1975,0.0008150211068457001,0.0005691844783613836,6.159726548602944e-05,130309246,6291456000,L640_sub00370,True,0.0006765930208709883,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9792879031499226,6161146754,8.986100377805714,8.5,9.5,6161146754,2.0393158339077857,True,5.316477664685145e-05,B,49152,8,,,,,all_valid_origins,0,200,False
389,262.9506364784763,1645,0.001098163753267447,0.0007552970265560948,8.811889617110245e-05,146485208,6291456000,L640_sub00370,True,0.0009313848324653894,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.9767168032328287,6144970792,9.987492177719089,9.5,10.5,6144970792,2.0107888213072123,True,8.701019120687617e-05,B,49152,9,,,,,all_valid_origins,0,200,False
