aspect_table_eligible,common_overlap_maximum,common_overlap_minimum,cube_id,equal_sf_target,lambda_block_bootstrap_high_curve_crossing_quality,lambda_block_bootstrap_low_curve_crossing_quality,lambda_central_quality,lambda_scale_block_bootstrap_curve_envelope_interval_high_cells,lambda_scale_block_bootstrap_curve_envelope_interval_low_cells,lambda_scale_cells,lambda_scale_crossing_error_cells,parallel_block_bootstrap_high_curve_crossing_quality,parallel_block_bootstrap_low_curve_crossing_quality,parallel_central_quality,parallel_over_lambda,parallel_over_lambda_block_bootstrap_curve_envelope_interval_high,parallel_over_lambda_block_bootstrap_curve_envelope_interval_low,parallel_scale_block_bootstrap_curve_envelope_interval_high_cells,parallel_scale_block_bootstrap_curve_envelope_interval_low_cells,parallel_scale_cells,parallel_scale_crossing_error_cells,q_name,target_definition,target_index,xi_block_bootstrap_high_curve_crossing_quality,xi_block_bootstrap_low_curve_crossing_quality,xi_central_quality,xi_over_lambda,xi_over_lambda_block_bootstrap_curve_envelope_interval_high,xi_over_lambda_block_bootstrap_curve_envelope_interval_low,xi_scale_block_bootstrap_curve_envelope_interval_high_cells,xi_scale_block_bootstrap_curve_envelope_interval_low_cells,xi_scale_cells,xi_scale_crossing_error_cells
False,0.11443973221657765,0.0766305289132765,L640_sub03942,0.0797662773259279,no_crossing,ok,ok,,,36.487664202208485,1.5437046529155434,multiple_crossings,ok,ok,,,,,,93.78718552425376,3.4568848981592266,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,89.456686636813,72.45155649218118,78.85363534072037,9.08138054898787
False,0.11443973221657765,0.0766305289132765,L640_sub03942,0.08642797269535686,ok,ok,ok,46.0590358318592,35.925306689112354,40.01919521571951,5.259409672698717,ok,multiple_crossings,ok,,,,,,96.81060205067264,3.5683244607455205,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,multiple_crossings,ok,,,,,,86.0099669707006,7.063358977952468
False,0.11443973221657765,0.0766305289132765,L640_sub03942,0.09364602078278644,ok,multiple_crossings,ok,,,45.23098858576976,1.6808784784523136,ok,ok,ok,,,,123.64570050855104,94.35928770467807,101.19400738032499,6.4620788182341045,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,ok,multiple_crossings,,,,,,,
False,0.11443973221657765,0.0766305289132765,L640_sub03942,0.10146688548811922,ok,ok,ok,56.19029981062803,44.68776289688683,47.377578845713984,1.432280964008253,ok,no_crossing,multiple_crossings,,,,,,,,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,no_crossing,ok,,,,,,106.82437678425173,2.1527965965668887
False,0.11443973221657765,0.0766305289132765,L640_sub03942,0.10994091115243174,ok,ok,ok,62.20124505980846,46.82614084371601,54.91465051427012,2.4210068557356625,ok,no_crossing,ok,,,,,,122.92680735636051,5.321973573644521,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,no_crossing,ok,,,,,,109.39068942088137,2.2045146526527293
False,0.02401022409768041,0.022659176762254894,L640_sub03942,0.022790787717166118,no_crossing,ok,ok,,,34.197431420457946,1.3347559502546904,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,91.41638946048413,76.20102241080265,84.57881157526633,3.137929743952309
False,0.02401022409768041,0.022659176762254894,L640_sub03942,0.023056307368816642,no_crossing,ok,multiple_crossings,,,,,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,ok,,,,92.72384683548175,79.42531757805027,85.69046878715537,3.1791729603713703
False,0.02401022409768041,0.022659176762254894,L640_sub03942,0.02332492040566682,no_crossing,ok,multiple_crossings,,,,,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,ok,ok,,,,93.969364067905,81.54299019679868,86.88467977840455,3.5330083884352605
False,0.02401022409768041,0.022659176762254894,L640_sub03942,0.023596662866600907,no_crossing,multiple_crossings,multiple_crossings,,,,,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,ok,ok,,,,95.23161176642957,82.63556480787312,88.15413873787718,3.584628641442234
False,0.02401022409768041,0.022659176762254894,L640_sub03942,0.023871571210367173,no_crossing,multiple_crossings,multiple_crossings,,,,,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,ok,ok,,,,96.5108146637919,83.7427785593307,89.44214557085158,3.6370031101847835
False,0.03215844565120248,0.027192757935207125,L640_sub00957,0.027652693243740693,no_crossing,ok,ok,,,36.266824258719275,0.9856673334466365,ok,no_crossing,ok,,,,,,102.25277664945031,5.6929795793355495,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,91.93308053744276,66.32217773264495,76.01937770836955,4.5439383139686
False,0.03215844565120248,0.027192757935207125,L640_sub00957,0.0285960333241889,no_crossing,ok,ok,,,36.95606806022579,1.004399745611515,ok,no_crossing,ok,,,,,,104.59409559553133,4.033040963178762,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,multiple_crossings,,,,,,,
False,0.03215844565120248,0.027192757935207125,L640_sub00957,0.029571554375204274,ok,ok,ok,43.20392163051488,35.24816927334905,37.658410803468314,1.0234881635540103,ok,no_crossing,ok,,,,,,106.37054868215363,4.1015391707183015,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,multiple_crossings,ok,,,,,,90.65134887370495,4.454148221032121
False,0.03215844565120248,0.027192757935207125,L640_sub00957,0.030580354213881764,ok,ok,ok,46.6915648224693,36.668315188063346,41.59861925045905,1.2530115920941902,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,ok,ok,,,,112.17344618783164,76.24138142536476,92.99455972533704,3.0016845560913907
False,0.03215844565120248,0.027192757935207125,L640_sub00957,0.031623568108093955,ok,ok,ok,47.826267845603205,37.45008330395238,42.56939936178848,1.2822529168013037,ok,no_crossing,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,multiple_crossings,ok,ok,,,,,,94.8542731092843,3.061712507832207
False,0.06410963797690374,0.05569454513343732,L640_sub00579,0.05648377672762646,no_crossing,multiple_crossings,ok,,,34.39753807690188,2.346495793818087,multiple_crossings,ok,ok,,,,,,97.01753655426896,1.9086187321284034,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,no_crossing,ok,,,,,,108.29937572890239,8.170624786490349
False,0.06410963797690374,0.05569454513343732,L640_sub00579,0.05809595033183208,no_crossing,ok,ok,,,35.23709489310382,2.403767815248366,ok,ok,multiple_crossings,,,,,,,,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,no_crossing,multiple_crossings,,,,,,,
False,0.06410963797690374,0.05569454513343732,L640_sub00579,0.059754138984617546,no_crossing,ok,ok,,,36.085893951777365,2.212617141865942,ok,ok,ok,,,,117.41946483629636,94.68637807166346,110.63821537917458,21.626808565574976,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,no_crossing,ok,,,,,,120.67242014718332,6.079222513621612
False,0.06410963797690374,0.05569454513343732,L640_sub00579,0.06145965605861868,no_crossing,ok,ok,,,36.876581295064504,2.261098367575674,ok,ok,ok,,,,119.51718485088382,95.17942471349735,111.8082130874988,3.3146023845121904,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,no_crossing,ok,,,,,,122.4610591682091,6.16933038244615
False,0.06410963797690374,0.05569454513343732,L640_sub00579,0.06321385241307025,ok,ok,ok,44.03283795227846,34.011178073261846,37.68459359296324,2.3106418779445277,ok,ok,ok,,,,123.75443463427001,95.67503872559067,112.73128316796353,3.3419671925642236,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,multiple_crossings,no_crossing,ok,,,,,,124.2762098771883,6.260773854303129
False,0.1476345330317085,0.13878489203444616,L640_sub00886,0.13964544302571844,no_crossing,ok,ok,,,34.269902907078915,3.5363702371386565,multiple_crossings,no_crossing,ok,,,,,,116.0708442437954,3.0274443244404763,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,113.09359819461706,79.92949581239613,96.11887594774667,9.100018539189165
False,0.1476345330317085,0.13878489203444616,L640_sub00886,0.1413825859176336,no_crossing,ok,ok,,,34.84629731307925,3.595849367492765,multiple_crossings,no_crossing,ok,,,,,,116.49975081212092,3.0386313780408187,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,ok,,,,113.69369366837512,80.68366511611713,97.69446080074593,9.249186444358523
False,0.1476345330317085,0.13878489203444616,L640_sub00886,0.14314133828968326,no_crossing,ok,ok,,,35.432386246437,3.656328892802846,multiple_crossings,no_crossing,ok,,,,,,116.93024228185332,3.0498597701943555,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,ok,ok,,,,114.29697335930695,81.3017438062484,99.96049675220699,13.45683248234083
False,0.1476345330317085,0.13878489203444616,L640_sub00886,0.14492196895661705,no_crossing,ok,ok,,,36.05575025708408,6.134250886581531,multiple_crossings,no_crossing,ok,,,,,,117.36232450954203,3.061129653655875,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,ok,ok,,,,114.90345416345586,81.84139456364136,102.4122715291285,13.786894091970966
False,0.1476345330317085,0.13878489203444616,L640_sub00886,0.1467247500771508,no_crossing,ok,ok,,,37.061017975183184,6.305279483879674,multiple_crossings,no_crossing,ok,,,,,,117.79600337337769,3.0724411817446287,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,ok,ok,,,,115.51315306651833,82.38462732218616,105.06212939950917,16.043984846855196
False,0.03819636126068902,0.029850954696242018,L640_sub00886,0.03059599646182105,no_crossing,ok,ok,,,35.45164426002562,2.7776671001521276,ok,multiple_crossings,ok,,,,,,97.09851526495775,10.079867280038068,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,multiple_crossings,ok,ok,,,,,,79.85611043564131,2.1776107664192157
True,0.03819636126068902,0.029850954696242018,L640_sub00886,0.03214232998511421,ok,ok,ok,44.483340087904395,34.05835901318441,41.674397882340735,1.4056056659160767,ok,ok,ok,2.411742679348647,3.51144840811762,2.034121353020327,119.59417053994477,90.48451192647144,100.50792400899802,3.558939814487382,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,ok,2.0055397324787427,2.820840432605279,1.7596512402277316,96.07319617257701,78.27516455515294,83.57966078016233,5.15091571430313
False,0.03819636126068902,0.029850954696242018,L640_sub00886,0.03376681580419039,multiple_crossings,ok,ok,,,43.36500119444326,1.5324844568516482,ok,ok,multiple_crossings,,,,,,,,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,ok,ok,,,,109.00139952795365,80.4561330336056,92.59951075692544,4.641969122969062
False,0.03819636126068902,0.029850954696242018,L640_sub00886,0.03547340376637821,ok,multiple_crossings,ok,,,45.11324250457731,1.5942659064264655,ok,no_crossing,ok,,,,,,119.00818478531991,4.420914334816513,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,ok,ok,,,,113.81354495211163,85.35931036051993,98.2284067496811,10.489083604093805
False,0.03819636126068902,0.029850954696242018,L640_sub00886,0.037266243345821654,ok,ok,ok,58.16186144356967,43.97305547210972,49.59500058751224,2.302621043056867,multiple_crossings,no_crossing,ok,,,,,,123.0970389892764,4.572807031910031,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,multiple_crossings,ok,,,,,,112.17322860868433,3.0776947809247504
False,0.10069253160420252,0.09446108463838519,L640_sub02279,0.09506646850710575,no_crossing,ok,ok,,,34.37385130835672,4.091903028960967,multiple_crossings,no_crossing,ok,,,,,,123.329731707009,2.6147466240915036,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,95.55733238290293,87.24418461128445,89.83037495661519,1.7926622817533133
False,0.10069253160420252,0.09446108463838519,L640_sub02279,0.0962889004939565,no_crossing,ok,ok,,,35.164350301569065,4.186004943689673,multiple_crossings,no_crossing,ok,,,,,,123.74156676996681,2.6234780493986607,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,ok,,,,96.28877728852639,87.529894860825,90.15349527248266,1.799110497103673
False,0.10069253160420252,0.09446108463838519,L640_sub02279,0.09752705137713255,no_crossing,ok,ok,,,35.973028481415554,4.282270929827921,multiple_crossings,no_crossing,ok,,,,,,124.15477707405033,2.6322386315607056,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,multiple_crossings,ok,,,,,,90.47777785377059,1.8055819067174617
False,0.10069253160420252,0.09446108463838519,L640_sub02279,0.09878112328133642,no_crossing,ok,ok,,,36.40067661343214,2.21845963524514,multiple_crossings,no_crossing,ok,,,,,,124.56936721160349,2.64102846794115,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,multiple_crossings,ok,,,,,,90.80322688115369,1.8120765940245642
False,0.10069253160420252,0.09446108463838519,L640_sub02279,0.10005132093033321,no_crossing,ok,ok,,,36.82687432785495,2.2444344937930123,multiple_crossings,no_crossing,ok,,,,,,124.98534179030509,2.649847656228625,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,ok,ok,,,,111.6422560715901,88.39265179830072,91.12984655034458,1.8185946427549635
False,0.02112223261617714,0.020840697857592398,L640_sub02297,0.020868681638480924,no_crossing,ok,ok,,,34.02854848108583,2.3338548074929957,ok,no_crossing,ok,,,,,,122.59549100001634,4.236886404812887,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,no_crossing,ok,,,,,,122.03690992300506,14.884339974207842
False,0.02112223261617714,0.020840697857592398,L640_sub02297,0.020924761976110724,no_crossing,ok,ok,,,34.11522882015746,2.3397997958950105,ok,no_crossing,ok,,,,,,122.72276870131937,4.2412851078800875,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,no_crossing,ok,,,,,,122.73150081932377,14.969056369029051
False,0.02112223261617714,0.020840697857592398,L640_sub02297,0.020980993018242272,no_crossing,ok,ok,,,34.20212995857309,2.3457599278642203,ok,no_crossing,ok,,,,,,122.8501785413585,4.245688377647172,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,no_crossing,ok,,,,,,123.43004508117376,15.054254939584197
False,0.02112223261617714,0.020840697857592398,L640_sub02297,0.021037375169863284,no_crossing,ok,ok,,,34.28925245877109,2.351735241975574,ok,no_crossing,ok,,,,,,122.97772065731942,4.250096218855261,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,3,ok,no_crossing,ok,,,,,,124.1325652097126,15.139938430246929
False,0.02112223261617714,0.020840697857592398,L640_sub02297,0.02109390883704977,no_crossing,ok,ok,,,34.37659688462256,2.3577257769022832,ok,no_crossing,ok,,,,,,123.10539518652973,4.2545086362503834,B,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,4,ok,no_crossing,ok,,,,,,124.83908383416608,15.226109601010837
False,0.00902422057563342,0.0073940314562075116,L640_sub02297,0.007542826786126003,no_crossing,ok,ok,,,35.256209537085745,3.210287908964813,ok,ok,ok,,,,119.1475203632282,101.6574741510165,111.63778870531542,4.0902861035620415,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,0,ok,ok,ok,,,,107.04684067461946,86.7544846830293,99.32956146707069,2.942391245867137
False,0.00902422057563342,0.0073940314562075116,L640_sub02297,0.007849460643969113,no_crossing,multiple_crossings,ok,,,36.906718092091644,1.6301398207932525,ok,ok,ok,,,,122.22929652993771,104.705264151144,114.31353761766232,4.188322608223412,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,1,ok,ok,ok,,,,118.18849139626786,89.73504708903575,101.63539443522887,3.0106958134070805
False,0.00902422057563342,0.0073940314562075116,L640_sub02297,0.008168559897802585,ok,ok,ok,44.44568635514422,34.86594063540115,38.22280831794482,1.6882704592197495,ok,no_crossing,ok,,,,,,117.05341922490543,4.288708864467649,u,interior log-spaced level within the common supported parallel/xi/lambda curve-value overlap,2,ok,ok,ok,,,,124.18316869922452,98.51634636936289,103.99475492931705,3.0805860007905332
