L_sub_cells,cube_count,estimator_elapsed_seconds_sum,interpretation,matrix,reduction_elapsed_seconds_sum,reduction_staging_logical_bytes_before_markers,release_label,selection_set,settled_release_allocated_bytes_before_summary_marker,settled_release_logical_bytes_before_summary_marker,shard_staging_logical_bytes_before_markers,verified_reductions,verified_shards
160,6,1070.2972766258754,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,3point,0.3197368837427348,92980053,L160_lineage_smoke_3point,smoke,235996160,188326126,95199897,12,24
160,6,1977.3624943177565,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,0.4740629983134568,116353019,L160_lineage_smoke_baseline,smoke,305332736,237741378,121186622,12,36
160,6,2207.069363034796,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,orders,2.1044866770971566,695696026,L160_lineage_smoke_orders,smoke,1457912320,1414703535,718805588,12,36
320,21,26365.720012440986,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,2.4772517586825415,574314884,L320_lineage_all_baseline,all,1484659712,1174724315,599586769,42,168
320,21,27158.454051537206,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,orders,11.591953692492098,3444566787,L320_lineage_all_orders,all,7197783040,7010322188,3564932077,42,168
320,6,6239.298754095682,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,3point,0.7267633392475545,155193135,L320_lineage_smoke_3point,smoke,413357056,319049730,163597220,12,48
320,6,2861.088459107559,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,5point,0.3500759154558182,93064405,L320_lineage_smoke_5point,smoke,240371712,188407263,95196879,12,24
320,6,7436.398743087077,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,0.7153919534757733,162314184,L320_lineage_smoke_baseline,smoke,261656576,332130508,169555896,12,48
320,6,8006.3710519210435,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,orders,3.300126054789871,971471763,L320_lineage_smoke_orders,smoke,2030734336,1977763015,1006030582,12,48
320,6,7374.235874504549,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,0.7049822574481368,166169494,L320_matched_smoke_baseline,matched_smoke,469594112,339646754,173216834,12,48
80,6,605.0043173113372,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,0.31789868464693427,69593913,L80_lineage_smoke_baseline,smoke,201110016,141229494,71492271,12,24
80,6,840.697616642341,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,orders,1.0362601736560464,413842727,L80_lineage_smoke_orders,smoke,889108480,836677605,422691428,12,24
640,21,3519.4074404057174,marker-recorded sampler accounting; scheduler node-hours remain separate in the bound ledger snapshot,baseline,2.526313178241253,599874198,phase4_batch_a_baseline,phase4_baseline,1622876160,1234741220,634071794,42,168
